arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,scenario,description,active_users,request_rate_per_user,burst_factor,arrival_rate,service_rate,proxy_capacity
15243,8658,6585,8649,0.43200157449320997,0.8911858418587187,10,1.0304095509495355,12,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15164,8762,6402,8753,0.4221841202848853,0.8856030872091167,10,1.0113007572876385,13,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15383,8966,6417,8957,0.4171488006240655,0.8861118277548078,10,0.989481559787627,14,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15312,8887,6425,8878,0.4196055381400209,0.8857003794301188,10,0.9975258006590142,15,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15288,8845,6443,8837,0.42144165358451074,0.8869690395424538,10,1.0037272072487855,16,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15183,8889,6294,8880,0.4145425805176843,0.886297753348426,10,0.9975074013197206,17,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15439,8876,6563,8869,0.4250922987240106,0.8874333024893908,10,1.0003648442734696,18,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15257,8913,6344,8907,0.4158091367896703,0.8854579243325424,10,0.9943759724735404,19,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15384,8785,6599,8776,0.4289521580863235,0.8921354779646393,10,1.0162954300437073,20,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15311,8955,6356,8945,0.4151263797269937,0.8851779954737622,10,0.9898333141206173,21,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15344,8901,6443,8892,0.4199035453597497,0.8851742662746347,10,0.9957121808416843,22,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15427,8963,6464,8953,0.4190056394632787,0.8868488805769535,10,0.9907862791473258,23,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15497,8781,6716,8771,0.43337420145834676,0.8911173021616476,10,1.0158980124557562,24,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15112,8895,6217,8885,0.4113949179460032,0.8812510559976586,10,0.9915885396083967,25,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15341,8692,6649,8684,0.43341372791864935,0.8916567318262548,10,1.026526938562902,26,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15346,8979,6367,8972,0.4148963899387463,0.8868676820817385,10,0.9883190984112299,27,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15381,8911,6470,8903,0.4206488524803329,0.8846164453937226,10,0.993540519606127,28,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15325,8892,6433,8883,0.41977161500815663,0.8896097411811894,10,1.0019044163264963,29,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15200,8885,6315,8880,0.41546052631578945,0.8846022693790868,10,0.9960698790938656,30,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
